"prompt","response","refusal"
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Roger and fosters connection."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Alan and fosters connection."
"Feel energized by social interaction.","Enjoys being around Sharon and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Help Stephanie without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Trust April easily.","Assumes goodwill and honesty in April.","Strongly Agree because trust builds openness and cooperation."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Rebecca and fosters connection."
"Help Brittany without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Help James without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Feel energized by social interaction.","Enjoys being around Marilyn and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Kenneth and fosters connection."
"Help Becky without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Help Tyler without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Feel energized by social interaction.","Enjoys being around Kyle and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Trust Heidi easily.","Assumes goodwill and honesty in Heidi.","Strongly Agree because trust builds openness and cooperation."
"Help Brandon without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Feel energized by social interaction.","Enjoys being around Brooke and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Trust Maureen easily.","Assumes goodwill and honesty in Maureen.","Strongly Agree because trust builds openness and cooperation."
"Feel energized by social interaction.","Enjoys being around Sheryl and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Trust Sarah easily.","Assumes goodwill and honesty in Sarah.","Strongly Agree because trust builds openness and cooperation."
"Feel energized by social interaction.","Enjoys being around Sara and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Trust Anne easily.","Assumes goodwill and honesty in Anne.","Strongly Agree because trust builds openness and cooperation."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Carolyn and fosters connection."
"Feel energized by social interaction.","Enjoys being around Andrea and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Help Kevin without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Trust Brandon easily.","Assumes goodwill and honesty in Brandon.","Strongly Agree because trust builds openness and cooperation."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Warren and fosters connection."
"Help Shane without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Trust Audrey easily.","Assumes goodwill and honesty in Audrey.","Strongly Agree because trust builds openness and cooperation."
"Feel energized by social interaction.","Enjoys being around Brian and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Help Kimberly without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Help Jeremy without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Monica and fosters connection."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Susan and fosters connection."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Nathaniel and fosters connection."
"Trust Andrea easily.","Assumes goodwill and honesty in Andrea.","Strongly Agree because trust builds openness and cooperation."
"Help Shaun without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Trust Natasha easily.","Assumes goodwill and honesty in Natasha.","Strongly Agree because trust builds openness and cooperation."
"Feel energized by social interaction.","Enjoys being around Angela and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Feel energized by social interaction.","Enjoys being around Roger and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Trust Deborah easily.","Assumes goodwill and honesty in Deborah.","Strongly Agree because trust builds openness and cooperation."
"Help Allison without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Help Cristian without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Rachel and fosters connection."
"Help Jeffrey without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Help Joseph without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Trust Travis easily.","Assumes goodwill and honesty in Travis.","Strongly Agree because trust builds openness and cooperation."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Amber and fosters connection."
"Help Kristina without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Annette and fosters connection."
"Trust Kayla easily.","Assumes goodwill and honesty in Kayla.","Strongly Agree because trust builds openness and cooperation."
"Help William without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Feel energized by social interaction.","Enjoys being around April and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Help Amber without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Jenny and fosters connection."
"Feel energized by social interaction.","Enjoys being around Toni and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Jacqueline and fosters connection."
"Help Dylan without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Help Nicholas without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Trust Ralph easily.","Assumes goodwill and honesty in Ralph.","Strongly Agree because trust builds openness and cooperation."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Sarah and fosters connection."
"Trust Elizabeth easily.","Assumes goodwill and honesty in Elizabeth.","Strongly Agree because trust builds openness and cooperation."
"Feel energized by social interaction.","Enjoys being around Lee and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Trust Jackie easily.","Assumes goodwill and honesty in Jackie.","Strongly Agree because trust builds openness and cooperation."
"Trust Walter easily.","Assumes goodwill and honesty in Walter.","Strongly Agree because trust builds openness and cooperation."
"Help Bradley without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Trust Edward easily.","Assumes goodwill and honesty in Edward.","Strongly Agree because trust builds openness and cooperation."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Kristopher and fosters connection."
"Feel energized by social interaction.","Enjoys being around Justin and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Help Kelsey without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Feel energized by social interaction.","Enjoys being around Elaine and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Trust Robert easily.","Assumes goodwill and honesty in Robert.","Strongly Agree because trust builds openness and cooperation."
"Trust Anthony easily.","Assumes goodwill and honesty in Anthony.","Strongly Agree because trust builds openness and cooperation."
"Feel energized by social interaction.","Enjoys being around Christina and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Bryan and fosters connection."
"Feel energized by social interaction.","Enjoys being around Julian and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Trust Jason easily.","Assumes goodwill and honesty in Jason.","Strongly Agree because trust builds openness and cooperation."
"Help Jerry without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Trust Michelle easily.","Assumes goodwill and honesty in Michelle.","Strongly Agree because trust builds openness and cooperation."
"Feel energized by social interaction.","Enjoys being around Shawn and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Help Diana without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Savannah and fosters connection."
"Trust Christine easily.","Assumes goodwill and honesty in Christine.","Strongly Agree because trust builds openness and cooperation."
"Help Matthew without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Trust Desiree easily.","Assumes goodwill and honesty in Desiree.","Strongly Agree because trust builds openness and cooperation."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Breanna and fosters connection."
"Trust Tonya easily.","Assumes goodwill and honesty in Tonya.","Strongly Agree because trust builds openness and cooperation."
"Help Kathleen without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Help Melissa without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Help Abigail without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Trust Sheila easily.","Assumes goodwill and honesty in Sheila.","Strongly Agree because trust builds openness and cooperation."
"Feel energized by social interaction.","Enjoys being around Brenda and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Feel energized by social interaction.","Enjoys being around Rebecca and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Feel energized by social interaction.","Enjoys being around Jonathan and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Jonathan and fosters connection."
"Help Caitlyn without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Trust Henry easily.","Assumes goodwill and honesty in Henry.","Strongly Agree because trust builds openness and cooperation."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Theresa and fosters connection."
"Feel energized by social interaction.","Enjoys being around Larry and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Feel energized by social interaction.","Enjoys being around Bryan and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Help Denise without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Feel energized by social interaction.","Enjoys being around Brent and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Help Kelly without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Help Olivia without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Trust Summer easily.","Assumes goodwill and honesty in Summer.","Strongly Agree because trust builds openness and cooperation."
"Help Jason without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Feel energized by social interaction.","Enjoys being around Kathleen and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Feel energized by social interaction.","Enjoys being around Brianna and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Nicole and fosters connection."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Eric and fosters connection."
"Help Laura without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Feel energized by social interaction.","Enjoys being around Edwin and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Maria and fosters connection."
"Help Martha without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Help Wayne without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Trust Paul easily.","Assumes goodwill and honesty in Paul.","Strongly Agree because trust builds openness and cooperation."
"Trust Caroline easily.","Assumes goodwill and honesty in Caroline.","Strongly Agree because trust builds openness and cooperation."
"Feel energized by social interaction.","Enjoys being around Madeline and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Kendra and fosters connection."
"Trust John easily.","Assumes goodwill and honesty in John.","Strongly Agree because trust builds openness and cooperation."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Alison and fosters connection."
"Trust Yolanda easily.","Assumes goodwill and honesty in Yolanda.","Strongly Agree because trust builds openness and cooperation."
"Help Lindsey without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Trust Meagan easily.","Assumes goodwill and honesty in Meagan.","Strongly Agree because trust builds openness and cooperation."
"Feel energized by social interaction.","Enjoys being around Tonya and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Trust Javier easily.","Assumes goodwill and honesty in Javier.","Strongly Agree because trust builds openness and cooperation."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Shawn and fosters connection."
"Trust Crystal easily.","Assumes goodwill and honesty in Crystal.","Strongly Agree because trust builds openness and cooperation."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Douglas and fosters connection."
"Trust Jane easily.","Assumes goodwill and honesty in Jane.","Strongly Agree because trust builds openness and cooperation."
"Trust Joan easily.","Assumes goodwill and honesty in Joan.","Strongly Agree because trust builds openness and cooperation."
"Help Ariel without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Feel energized by social interaction.","Enjoys being around Jennifer and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Feel energized by social interaction.","Enjoys being around Sierra and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Help Tanner without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Feel energized by social interaction.","Enjoys being around Steven and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Feel energized by social interaction.","Enjoys being around Shane and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Krystal and fosters connection."
"Trust Scott easily.","Assumes goodwill and honesty in Scott.","Strongly Agree because trust builds openness and cooperation."
"Feel energized by social interaction.","Enjoys being around Megan and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Trust Keith easily.","Assumes goodwill and honesty in Keith.","Strongly Agree because trust builds openness and cooperation."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Lisa and fosters connection."
"Trust Laura easily.","Assumes goodwill and honesty in Laura.","Strongly Agree because trust builds openness and cooperation."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Kayla and fosters connection."
"Help Erin without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Trust Heather easily.","Assumes goodwill and honesty in Heather.","Strongly Agree because trust builds openness and cooperation."
"Trust Franklin easily.","Assumes goodwill and honesty in Franklin.","Strongly Agree because trust builds openness and cooperation."
"Feel energized by social interaction.","Enjoys being around Benjamin and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Trust Phyllis easily.","Assumes goodwill and honesty in Phyllis.","Strongly Agree because trust builds openness and cooperation."
"Feel energized by social interaction.","Enjoys being around Caroline and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Katelyn and fosters connection."
"Feel energized by social interaction.","Enjoys being around John and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Teresa and fosters connection."
"Feel energized by social interaction.","Enjoys being around Kimberly and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Trust Hannah easily.","Assumes goodwill and honesty in Hannah.","Strongly Agree because trust builds openness and cooperation."
"Trust Trevor easily.","Assumes goodwill and honesty in Trevor.","Strongly Agree because trust builds openness and cooperation."
"Help Justin without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Help Anna without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Feel energized by social interaction.","Enjoys being around Kathryn and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Feel energized by social interaction.","Enjoys being around Natalie and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Debbie and fosters connection."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Dennis and fosters connection."
"Help Megan without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Feel energized by social interaction.","Enjoys being around Katherine and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Trust Louis easily.","Assumes goodwill and honesty in Louis.","Strongly Agree because trust builds openness and cooperation."
"Help Edwin without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Trust Caleb easily.","Assumes goodwill and honesty in Caleb.","Strongly Agree because trust builds openness and cooperation."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Ronald and fosters connection."
"Feel energized by social interaction.","Enjoys being around Katelyn and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Help Ashley without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Help Benjamin without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Trust Chad easily.","Assumes goodwill and honesty in Chad.","Strongly Agree because trust builds openness and cooperation."
"Feel energized by social interaction.","Enjoys being around Wendy and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Feel energized by social interaction.","Enjoys being around Earl and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Marilyn and fosters connection."
"Help Carrie without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Ryan and fosters connection."
"Trust Sean easily.","Assumes goodwill and honesty in Sean.","Strongly Agree because trust builds openness and cooperation."
"Feel energized by social interaction.","Enjoys being around Chad and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Trust Wesley easily.","Assumes goodwill and honesty in Wesley.","Strongly Agree because trust builds openness and cooperation."
"Feel energized by social interaction.","Enjoys being around Cheyenne and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Feel energized by social interaction.","Enjoys being around Victoria and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Michele and fosters connection."
"Trust Nicole easily.","Assumes goodwill and honesty in Nicole.","Strongly Agree because trust builds openness and cooperation."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Gavin and fosters connection."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Nicholas and fosters connection."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Karen and fosters connection."
"Trust Stephanie easily.","Assumes goodwill and honesty in Stephanie.","Strongly Agree because trust builds openness and cooperation."
"Trust Emily easily.","Assumes goodwill and honesty in Emily.","Strongly Agree because trust builds openness and cooperation."
"Feel energized by social interaction.","Enjoys being around Shelly and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Feel energized by social interaction.","Enjoys being around Jared and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Help Whitney without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Help Lance without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Help Chloe without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Feel energized by social interaction.","Enjoys being around Bobby and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Help Claire without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Help Stephen without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Help Melinda without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Help Veronica without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Help Amanda without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Feel energized by social interaction.","Enjoys being around Mary and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Feel energized by social interaction.","Enjoys being around Tiffany and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Trust Julia easily.","Assumes goodwill and honesty in Julia.","Strongly Agree because trust builds openness and cooperation."
"Trust Lisa easily.","Assumes goodwill and honesty in Lisa.","Strongly Agree because trust builds openness and cooperation."
"Trust Anna easily.","Assumes goodwill and honesty in Anna.","Strongly Agree because trust builds openness and cooperation."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Frederick and fosters connection."
"Feel energized by social interaction.","Enjoys being around Courtney and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Help Sean without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Help Leslie without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Feel energized by social interaction.","Enjoys being around Leslie and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Trust Karen easily.","Assumes goodwill and honesty in Karen.","Strongly Agree because trust builds openness and cooperation."
"Help Marilyn without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Trust Tim easily.","Assumes goodwill and honesty in Tim.","Strongly Agree because trust builds openness and cooperation."
"Trust Susan easily.","Assumes goodwill and honesty in Susan.","Strongly Agree because trust builds openness and cooperation."
"Trust Courtney easily.","Assumes goodwill and honesty in Courtney.","Strongly Agree because trust builds openness and cooperation."
"Help Patrick without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Help Jacqueline without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Help Chelsea without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Help Bethany without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Feel energized by social interaction.","Enjoys being around Robin and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Feel energized by social interaction.","Enjoys being around Troy and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Tammy and fosters connection."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Haley and fosters connection."
"Help Julie without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Cynthia and fosters connection."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Emily and fosters connection."
"Trust Bradley easily.","Assumes goodwill and honesty in Bradley.","Strongly Agree because trust builds openness and cooperation."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Donna and fosters connection."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Gene and fosters connection."
"Trust Steve easily.","Assumes goodwill and honesty in Steve.","Strongly Agree because trust builds openness and cooperation."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Derrick and fosters connection."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Erin and fosters connection."
"Help Stacy without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Feel energized by social interaction.","Enjoys being around Timothy and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Feel energized by social interaction.","Enjoys being around Amanda and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Trust Tammy easily.","Assumes goodwill and honesty in Tammy.","Strongly Agree because trust builds openness and cooperation."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Joel and fosters connection."
"Feel energized by social interaction.","Enjoys being around Brandon and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Feel energized by social interaction.","Enjoys being around Ian and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Feel energized by social interaction.","Enjoys being around Joanna and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Trust Lauren easily.","Assumes goodwill and honesty in Lauren.","Strongly Agree because trust builds openness and cooperation."
"Help Kenneth without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Feel energized by social interaction.","Enjoys being around Samantha and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Trust Whitney easily.","Assumes goodwill and honesty in Whitney.","Strongly Agree because trust builds openness and cooperation."
"Trust Tony easily.","Assumes goodwill and honesty in Tony.","Strongly Agree because trust builds openness and cooperation."
"Help Christina without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Help Andrew without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Tanner and fosters connection."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Diane and fosters connection."
"Trust Kyle easily.","Assumes goodwill and honesty in Kyle.","Strongly Agree because trust builds openness and cooperation."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Ian and fosters connection."
"Help Scott without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Trust Samuel easily.","Assumes goodwill and honesty in Samuel.","Strongly Agree because trust builds openness and cooperation."
"Trust Charles easily.","Assumes goodwill and honesty in Charles.","Strongly Agree because trust builds openness and cooperation."
"Feel energized by social interaction.","Enjoys being around Mitchell and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Help Kyle without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Feel energized by social interaction.","Enjoys being around Chelsea and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Dustin and fosters connection."
"Trust Phillip easily.","Assumes goodwill and honesty in Phillip.","Strongly Agree because trust builds openness and cooperation."
"Trust Jared easily.","Assumes goodwill and honesty in Jared.","Strongly Agree because trust builds openness and cooperation."
"Feel energized by social interaction.","Enjoys being around Julia and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Feel energized by social interaction.","Enjoys being around Diana and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Trust Angela easily.","Assumes goodwill and honesty in Angela.","Strongly Agree because trust builds openness and cooperation."
"Trust Jenny easily.","Assumes goodwill and honesty in Jenny.","Strongly Agree because trust builds openness and cooperation."
"Trust Jessica easily.","Assumes goodwill and honesty in Jessica.","Strongly Agree because trust builds openness and cooperation."
"Feel energized by social interaction.","Enjoys being around Dylan and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Feel energized by social interaction.","Enjoys being around Crystal and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
